Engine rpm,Lub oil pressure,Fuel pressure,Coolant pressure,lub oil temp,Coolant temp,Engine Condition
1223.849954,3.491488382,4.803763174,2.82789214,92.17943497,85.70873529,0
1001.607495,3.45590307,5.736251342,2.960812916,91.39988311,84.12255431,0
1276.690988,1.845228193,5.006547347,3.077153854,76.76176185,79.68844934,0
1583.06045,3.60389177,6.776045117,4.136233754,94.95501066,83.97473339,0
968.0463188,4.879394898,9.492946329,2.10333923,70.11900789,88.90841625,0
968.0520651,2.470921457,4.572394607,1.98438361,80.14978809,82.73837871,0
1602.724485,5.258179181,9.002051244,4.483943691,64.01094625,88.1976763,0
1318.602155,4.585329785,4.545819819,2.44482631,106.7035182,75.63331222,0
885.6839649,3.118920014,4.380931969,1.484357576,85.22140607,77.96106349,0
1239.896015,3.830164435,8.546486546,2.417844069,114.0026084,76.65679497,0
887.8038075,5.917986169,8.804840945,2.603936718,97.63539912,78.34868628,0
886.9945863,4.880257376,8.628524842,4.865955273,93.37717856,96.87181047,0
1134.686795,4.010540386,3.210506479,4.109791455,80.96526767,91.26038793,0
380.3519144,3.71478002,5.335122555,4.37702474,75.44379957,73.23076881,0
446.2787586,4.091930885,8.55747148,3.983968371,94.27565889,88.37498296,0
853.1993648,3.38588373,6.603854601,4.135492406,87.14183189,80.09417687,0
695.5091079,1.474300593,3.815767885,2.174301448,71.92875621,77.17615415,0
1159.986566,6.450613493,7.645794848,2.761677414,69.797699,69.14260534,0
732.1915736,4.186389999,4.712981853,1.812101624,76.49555525,93.71918694,0
555.6937045,4.477776718,10.98631212,2.747414363,109.8516067,70.3613685,0
1562.977069,3.9305107,10.36210366,3.820925989,114.559335,83.48036822,0
970.9782948,3.117859839,8.010243566,3.161499942,90.45986977,74.53688754,0
1073.634872,3.776890623,9.902516762,4.573776983,89.78731355,91.75843947,0
551.3381348,2.080726285,6.661978375,1.630301049,83.96415554,80.65648174,0
859.4660464,6.732503798,8.413593736,3.600286021,76.78617582,82.65537344,0
1088.822906,2.518585602,10.19430074,1.502036638,104.5021487,82.99265737,0
647.1522479,2.761640459,7.113746704,3.113011763,110.4829167,87.02570335,0
1181.494306,3.471688955,5.862032071,3.888400107,77.27897097,84.13004764,0
839.7764585,5.54569087,2.238445105,2.74259692,87.00593946,83.56726811,0
947.9071876,4.017410799,6.292166186,3.661351925,82.60160439,78.81598025,0
839.4026857,2.516637045,8.558557961,1.848321198,82.9571311,68.25270627,0
1698.297365,5.505206033,8.864083569,1.003572026,102.2308991,72.8144904,0
1045.275971,4.877200752,7.760912664,3.668435547,72.25646146,91.18479739,0
679.8011749,4.646121949,5.146752263,5.092812281,93.59763629,80.94180537,0
1337.890719,4.858881089,1.557946078,1.804746072,96.73885729,77.35990222,0
622.7047225,6.873234281,5.261962255,4.466633016,86.29418592,69.94271856,0
1123.102258,6.622113874,5.739137822,3.052108091,98.71681392,66.8035286,0
364.1154566,3.175941588,5.717677582,1.397170174,89.77182209,76.9679312,0
585.1348829,5.948661991,8.046390892,1.642193638,102.6055591,92.88052854,0
1118.901433,4.459801828,11.46419103,3.018941728,69.73353634,78.42929806,0
1308.463303,4.598914979,6.808823005,2.514645254,83.81469687,88.00485525,0
1109.978898,1.969275002,5.958170527,1.424504428,87.13824229,77.96940171,0
1009.523101,3.795537082,5.851945467,0.967152863,55.93351139,90.38866696,0
944.6137065,3.024611692,6.810961917,1.983936806,74.9685672,80.48249198,0
532.5173034,4.993670578,4.429265599,3.23257081,78.23680895,71.68115754,0
798.0545271,5.2852966,6.800496397,2.992319097,99.37847194,81.31046932,0
888.7764302,1.510616379,7.627030841,2.398514451,79.51787984,102.3400042,0
1419.992779,3.973558163,7.024215159,3.242264633,78.18305215,101.8988432,0
1170.266401,5.346233806,7.643854835,4.248032064,97.80982937,88.86533303,0
432.9359456,3.775985245,7.584369023,3.472951813,68.58507225,82.62941185,0
1163.429389,4.874876374,2.070258294,2.854429594,63.14507119,87.03901802,0
915.2212019,4.421398561,8.092175396,4.113686408,83.6608924,87.16852339,0
813.0772999,4.409992278,4.822462886,1.848179637,70.62751878,83.60113248,0
1264.086701,3.674422026,3.760402092,2.730096553,71.08384846,88.4094402,0
1410.849833,2.540103035,3.73887043,2.758694477,94.8812055,86.08226862,0
1375.948042,2.654163823,7.583854026,1.51565609,98.51168605,80.84027615,0
756.2738669,4.851223017,5.943562682,2.496151005,97.46637059,72.04743201,0
941.7756685,4.023349907,2.29507804,0.510048383,101.3053199,79.39940758,0
1165.942201,3.833785306,7.695094538,5.294613657,102.8936118,91.99518849,0
1391.440794,3.491331949,2.900979673,1.875103454,62.45691749,83.68537776,0
882.2890168,3.633773385,6.849553396,4.903336958,93.40494352,87.00286892,0
985.0193582,5.256294153,7.096247314,3.045701407,81.64470161,81.16984472,0
662.7827591,3.597707102,8.713942704,3.677836959,79.03090905,73.40402495,0
631.3276816,2.390722344,10.95421197,2.413440242,94.72497559,81.61370285,0
1334.384038,4.892382131,3.088309185,3.24951563,67.23645424,73.77544099,0
1524.68401,3.754148003,6.36881536,3.780587568,66.98669673,73.13710826,0
1024.796457,4.037675039,5.809161762,3.797462897,95.60287293,96.05636609,0
1401.236514,5.929093968,7.584374215,3.929728068,93.85343221,79.79913995,0
1176.572609,3.975327331,7.039171927,2.558000748,89.64079187,76.58515275,0
824.2080859,4.347020408,5.618634393,2.423568393,77.44103914,100.1795968,0
1176.488462,2.58529181,5.397744528,1.08698841,96.92595561,92.14985035,0
1588.312798,3.736396657,3.708872862,3.627862813,96.1636347,80.28490774,0
1037.460886,4.731431254,8.969653956,4.298854454,89.02365418,88.27636326,0
1597.62528,2.133551519,7.648010454,4.939178016,73.8721475,81.64211682,0
133.0892136,4.241014112,8.794420494,3.366207161,82.89701985,77.07320321,0
1337.665877,4.120949287,5.724009659,2.080224273,98.05400413,88.74691224,0
1080.466474,4.049544947,4.857911328,0.963484628,103.9262947,80.75698115,0
945.3474273,5.244590678,3.804212333,4.25000008,84.08156076,84.75498009,0
